ExtractDate,FHRSID,BusinessName,BusinessType,BusinessTypeID,AddressLine2,AddressLine3,PostCode,RatingDate,Longitude,Latitude
2/14/2014,19429,(Starbucks),Restaurant/Cafe/Canteen,1,390 Provan Walk,Glasgow,G34 9DL,11/1/2011,-4.136909,55.872982
2/14/2014,360857,1478 Social Club,Restaurant/Cafe/Canteen,1,11 Dove Street,Glasgow,G53 7BS,4/26/2012,-4.362002,55.812693
2/14/2014,36363,1call Direct,Restaurant/Cafe/Canteen,1,116 West Regent Street,Glasgow,G2 2QD,7/23/2013,-4.258314,55.863552
2/14/2014,36362,2 Go,Restaurant/Cafe/Canteen,1,397 Dumbarton Road,Glasgow,G11 6BE,9/3/2013,-4.308613,55.870617
2/14/2014,507934,200 St Vincent Street,Restaurant/Cafe/Canteen,1,200 St Vincent Street,Glasgow,G2 5SG,2/6/2013,-4.260957,55.86229
2/14/2014,95689,279 Cafe Bistro,Restaurant/Cafe/Canteen,1,279 Dumbarton Road,Glasgow,G11 6AB,5/22/2012,-4.303939,55.870516
2/14/2014,110587,32nd Signal Regiment (v),Restaurant/Cafe/Canteen,1,21 Jardine Street,Glasgow,G20 6JU,5/24/2011,-4.277246,55.877088
2/14/2014,10859,7 Day Catering Ltd  -Staff Canteen,Restaurant/Cafe/Canteen,1,53 Coltness Street,Glasgow,G33 4JD,9/13/2011,-4.152553,55.863938
2/14/2014,406755,7th Heaven,Restaurant/Cafe/Canteen,1,15 Elmbank Gardens,Glasgow,G2 4NQ,6/6/2012,-4.270439,55.865108
2/14/2014,556088,916 - Diner,Restaurant/Cafe/Canteen,1,916 Sauchiehall Street,Glasgow,G3 7TF,6/6/2013,-4.284479,55.865774
2/14/2014,31114,Abercromby Cafe,Restaurant/Cafe/Canteen,1,168 Abercromby Street,Glasgow,G40 2RZ,10/22/2013,-4.229148,55.852688
2/14/2014,36313,Abercromby Catering And Vending,Restaurant/Cafe/Canteen,1,8 Arrol Road,Glasgow,G40 3DQ,2/12/2013,-4.213875,55.84625
2/14/2014,35898,A-Cakes,Restaurant/Cafe/Canteen,1,39 Milnbank Street,Glasgow,G31 3AQ,6/28/2010,-4.221675,55.864803
2/14/2014,537382,Ad Lib,Restaurant/Cafe/Canteen,1,33 Ingram Street,Glasgow,G1 1HA,7/23/2013,-4.242358,55.859008
2/14/2014,91632,Agra Restaurant,Restaurant/Cafe/Canteen,1,995 Crow Road,Glasgow,G13 1JP,7/5/2013,-4.32204,55.893903
2/14/2014,315982,AJ's Sandwich Shop,Restaurant/Cafe/Canteen,1,14 Tollcross Road,Glasgow,G31 4XD,6/20/2012,-4.19669,55.850836
