Walk Glasgow Coordinator Name  ,Walk Glasgow Coordinator Telephone  ,Walk Glasgow Coordinator Email ,Health Walks Webpage,Local Network Area ,Enquiries Local Network,Local Network Enquiries Telephone,Local Network Enquiries Email,Walk ID ,Walk Name,Walk Day,Walk Time,Meeting Frequency,Meet Point,Meet Address 1,Meet Address 2,Town,Postcode,UPRN
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,North Glasgow,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,01HW2013,Hamiltonhill Buggy Walk,Tuesday,09:00,Weekly,Hamiltonhill Family Centre,115 Ellesmere Street,,Glasgow,G22 5QT,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,North Glasgow,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,02HW2013,Hamiltonhill Buggy Walk,Wednesday,13:00,Weekly,Hamiltonhill Family Centre,115 Ellesmere Street,,Glasgow,G22 5QT,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,North Glasgow,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,03HW2013,Lambhill,Friday,11:00,Weekly,Lambhill Stables,11 Canal Bank North,,Glasgow,G22 6RD,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,North Glasgow,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,04HW2013,Maryhill Buggy Walk,Wednesday,11:00,Weekly,Maryhill Burgh Halls,10-24 Gairbraid Avenue,,Glasgow,G20 8YE,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,North Glasgow,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,05HW2013,Maryhill & Canal Strollers,Wednesday,13:00,Weekly,Glasgow Club Maryhill,34 Gairbraid Avenue,,Glasgow,G20 8YE,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,North Glasgow,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,06HW2013,Milton,Tuesday,11:00,Weekly,Milton Resource Centre,460 Ashgill Rd,,Glasgow,G22 7HJ,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,North Glasgow,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,07HW2013,Possilpark ,Thursday,11:00,Weekly,Millennium Centre,25 Ardoch Street,,Glasgow,G22 5QG,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,North Glasgow,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,08HW2013,Royston,Wednesday,10:00,Weekly,Royston Library,67 Royston Road,,Glasgow,G21 2QW,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,North Glasgow,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,09HW2013,Springburn Stobhill,Monday,12:30,Weekly,Patient Information Centre,New Stobhill Hospital,133 Balornock Road,Glasgow,G21 3UW,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,North Glasgow,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,10HW2013,Woodside,Friday,13:00,Weekly,Glasgow Club North Woodside,10 Braid Square,,Glasgow,G4 9YQ,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,North Glasgow,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,11HW2013,Wallacewell,Tuesday,10:00,Weekly,Barmulloch Community  Centre,46 Wallacewell Quadrant,,Glasgow,G21 3PX,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,North Glasgow,Jo Skead,0141 336 7000,jo.skead@healthynorthglasgow.co.uk,12HW2013,Wallacewell,Thursday,10:00,Weekly,Barmulloch Community  Centre,46 Wallacewell Quadrant,,Glasgow,G21 3PX,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,South Glasgow ,Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,13HW2013,Bellahouston,Sunday,11:00,Weekly,Glasgow Club Bellahouston Café,31 Bellahouston Drive,,Glasgow,G52 1HH,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,South Glasgow ,Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,14HW2013,Bellahouston,Wednesday,13:30,Weekly,Glasgow Club Bellahouston Café,31 Bellahouston Drive,,Glasgow,G52 1HH,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,South Glasgow ,Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,15HW2013,Castlemilk,Tuesday,12:00,Weekly,Castlemilk Community Centre,121 Castlemilk Drive,,Glasgow,G45 9UG ,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,South Glasgow ,Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,16HW2013,Castlemilk,Thursday,12:00,Weekly,Castlemilk Community Centre,121 Castlemilk Drive,,Glasgow,G45 9UG ,9.067E+11
Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,www.glasgowlife.org.uk/healthwalks,South Glasgow ,Heather Macleod,0141 287 0963,heather.macleod@glasgow.gov.uk,17HW2013,Cathcart,Wednesday,11:15,Weekly,Coupar Institute,86 Clarkston Road,,Glasgow,G44 3DA,9.067E+11
